"beta1" "lambda1" "beta2" "lambda2" "beta3" "lambda3" "sumQfunc" "diffB_beta1" "diffB_beta3" "bp" "iter" "Beta1 at 1" "Q1" "Q2" "Q3" "pi1" "pi2" "pi3"
"80.8861218843795" "9.77248894206841e-157" "1" "0.695548446300978" "1.85420789442748" "0.000751603757032657" "-210.493300298531" "1.36103979997415e-06" "9.2050811417721e-10" "bp" "37" "12.5827311221513" "-20.7211145190699" "-12.7270803041671" "-127.812718234565" "0.251727210667241" "0.186743512408884" "0.561529276923875"
"80.9823697970096" "6.36746483830278e-157" "1" "0.689865445833622" "1.85828647701076" "0.000738277688747973" "-210.504009047111" "2.73165348119164e-07" "3.97662347495498e-10" "bp" "38" "12.5760861245859" "-20.6928404975836" "-12.8381603657076" "-127.718327044169" "0.251593981286247" "0.18724636431281" "0.561159654400943"
"81.0275088776462" "5.20853612806322e-157" "1" "0.685240206617504" "1.86162568731" "0.000727633495813409" "-210.512273060013" "6.06499241939673e-08" "1.80932602233952e-10" "bp" "39" "12.5729221116838" "-20.6795036817656" "-12.9295904543985" "-127.628411109889" "0.251530546843877" "0.187659264999968" "0.560810188156155"
"81.0275088776462" "5.20797058833203e-157" "1" "0.681465557539188" "1.86436930068127" "0.000719041023152801" "-210.518818220862" "6.67130862552767e-05" "7.41380290492089e-11" "bp" "40" "12.5713035223388" "-20.6727474756536" "-13.0049137201778" "-127.549119057861" "0.251498097486476" "0.187998898135549" "0.560503004377975"
"81.0556883079845" "4.59456123790379e-157" "1" "0.678376537033666" "1.8666265007111" "0.000712078171506922" "-210.524313757337" "2.28372343258343e-08" "3.70903308066772e-11" "bp" "41" "12.5707653864552" "-20.6709027660497" "-13.0670411258335" "-127.479492840241" "0.251487316497801" "0.188278735595306" "0.560233947906893"
"81.0556883079845" "4.59430710547657e-157" "1" "0.675843455945236" "1.86849222549233" "0.000706362355232848" "-210.528369452039" "3.56247663972908e-05" "1.64135371960583e-11" "bp" "42" "12.5700033396841" "-20.6674481555216" "-13.1183176360867" "-127.423766255014" "0.251472033959155" "0.188509499040019" "0.560018467000827"
"81.0556883079845" "4.59422475411777e-157" "1" "0.673760111015096" "1.87003264573668" "0.000701689350981994" "-210.532027917584" "4.4985739457104e-05" "7.57438556320267e-12" "bp" "43" "12.5696995286227" "-20.6663843145245" "-13.1607218533166" "-127.375949080979" "0.251465947009969" "0.188700261025288" "0.559833791964743"
"81.0556883079845" "4.59417195594005e-157" "1" "0.672044214287563" "1.87130680118668" "0.000697849819363778" "-210.534968405009" "5.11855691343044e-05" "3.59534624294611e-12" "bp" "44" "12.5695087531328" "-20.6656951673531" "-13.1958019134749" "-127.336079585997" "0.251462124362115" "0.188857990684852" "0.559679884953033"
"81.0556883079845" "4.59413065319922e-157" "1" "0.670628898689059" "1.87236168491901" "0.000694687328508141" "-210.537385114994" "5.60477396192027e-05" "1.91846538655227e-12" "bp" "45" "12.5693621810478" "-20.6651593697814" "-13.2248439622568" "-127.303020039778" "0.251459187320195" "0.188988526009356" "0.559552286670449"
"81.0556883079845" "4.59409688605309e-157" "1" "0.669460008826261" "1.87323563878299" "0.000692078151539806" "-210.539383291237" "6.00227254992092e-05" "7.8159700933611e-13" "bp" "46" "12.5692430027418" "-20.6647223424852" "-13.2489030892761" "-127.275626269637" "0.251456799175703" "0.189096635962332" "0.559446564861965"
