"beta1" "lambda1" "lambda2" "diffBeta1" "diffLambda1" "pi1" "pi2" "init_beta1" "init_beta2" "init_pi1" "init_pi2" "tempering" "Qlike" "Q1" "Q2" "bpBase" "bp1"
0.198530624361694 0.00187017811163922 6.17576816721004e-07 -1.70458748129931e-05 5.6843418860808e-14 0.846087676516708 0.153912323483292 0.5 1 0.5 0.5 0.735533333333333 -2085.16807035693 -292.159865069927 -8.27298857662219 222300 222300
0.198612479437414 0.00185713931437317 6.09801822273491e-07 -1.62955877556215e-05 1.4264145420384e-12 0.852387623758321 0.147612376241679 0.5 1 0.5 0.5 0.738966666666667 -2040.00291687727 -292.688618812826 -7.84103392109386 232400 232400
0.198612478465959 0.00185713932738033 6.09801822273491e-07 -1.5616885008285e-05 -1.4210854715202e-13 0.852387623758321 0.147612376241679 0.5 1 0.5 0.5 0.7424 -2040.00291687727 -292.688618812826 -7.84103392109386 242500 242500
0.198612477572189 0.00185713933934734 6.09801822273491e-07 -1.49924570962412e-05 -1.52944323872362e-12 0.852387623758321 0.147612376241679 0.5 1 0.5 0.5 0.745833333333333 -2040.00291687727 -292.688618812826 -7.84103392109386 252600 252600
0.198612476747145 0.00185713935039416 6.09801822273491e-07 -1.44160436548191e-05 -5.6843418860808e-13 0.852387623758321 0.147612376241679 0.5 1 0.5 0.5 0.749266666666667 -2040.00291687727 -292.688618812826 -7.84103392109386 262700 262700
0.198612475983192 0.00185713936062299 6.09801822273491e-07 -1.38823118902565e-05 -6.87450096847897e-13 0.852387623758321 0.147612376241679 0.5 1 0.5 0.5 0.7527 -2040.00291687727 -292.688618812826 -7.84103392109386 272800 272800
0.198612475273789 0.00185713937012145 6.09801822273491e-07 -1.33866903979651e-05 -6.19948536950687e-13 0.852387623758321 0.147612376241679 0.5 1 0.5 0.5 0.756133333333333 -2040.00291687727 -292.688618812826 -7.84103392109386 282900 282900
0.198612474613293 0.00185713937896507 6.09801822273491e-07 -1.29252379394984e-05 -1.4210854715202e-13 0.852387623758321 0.147612376241679 0.5 1 0.5 0.5 0.759566666666667 -2040.00291687727 -292.688618812826 -7.84103392109386 293000 293000
0.198612473996815 0.00185713938721931 6.09801822273491e-07 -1.2494538879082e-05 -7.95807864051312e-13 0.852387623758321 0.147612376241679 0.5 1 0.5 0.5 0.763 -2040.00291687727 -292.688618812826 -7.84103392109386 303100 303100
0.198612473420098 0.00185713939494119 6.09801822273491e-07 -1.20916180037511e-05 -2.78888023785839e-13 0.852387623758321 0.147612376241679 0.5 1 0.5 0.5 0.766433333333333 -2040.00291687727 -292.688618812826 -7.84103392109386 313200 313200
0.198612472879414 0.0018571394021806 6.09801822273491e-07 -1.17138718280785e-05 -6.76791955811495e-13 0.852387623758321 0.147612376241679 0.5 1 0.5 0.5 0.769866666666667 -2040.00291687727 -292.688618812826 -7.84103392109386 323300 323300
