"data_Name" "Iter" "beta1" "lambda1" "lambda2" "diffBeta1" "diffBeta2" "diffLambda1" "pi1" "pi2" "init_beta1" "init_beta2" "init_pi1" "init_pi2" "EM_endIter" "tempering" "Q1" "Q2" "bpBase" "bp1"
"V155" "LFP" 56 0.187714952111089 0.00273722485358855 2.70415807862314e-06 -6.83212135754729e-08 -27.5873463214141 8.59312621059871e-13 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.599999999444444 -196.577831306964 -117.931512189295 59948425.0318942 59948425.0318942
"V156" "LFP" 57 0.187714952097624 0.00273722485385382 2.70415807862314e-06 -6.08365269272326e-08 -27.5873463214141 7.4424910678772e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.609090908525253 -196.577831306966 -117.931512189295 67341506.5775083 67341506.5775083
"V157" "LFP" 58 0.187714952085572 0.00273722485409186 2.70415807862314e-06 -5.41866711500916e-08 -27.5873463214141 -7.63478169574228e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.618181817606061 -196.577831306963 -117.931512189295 75646332.7554629 75646332.7554629
"V158" "LFP" 59 0.187714952074795 0.00273722485430397 2.70415807862314e-06 -4.81773554383835e-08 -27.5873463214141 9.84234915790694e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.627272726686869 -196.577831306966 -117.931512189295 84975343.5908646 84975343.5908646
"V159" "LFP" 60 0.187714952065301 0.00273722485449163 2.70415807862314e-06 -4.2953757883879e-08 -27.5873463214141 1.04360964314765e-13 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.636363635767677 -196.577831306963 -117.931512189295 95454845.6661835 95454845.6661835
"V160" "LFP" 61 0.187714952056797 0.00273722485465929 2.70415807862314e-06 -3.8229217125263e-08 -27.5873463214141 -5.3517190679031e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.645454544848485 -196.577831306963 -117.931512189295 107226722.201032 107226722.201032
"V161" "LFP" 62 0.18771495204918 0.00273722485480911 2.70415807862314e-06 -3.39803420956741e-08 -27.5873463214141 7.33146876541468e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.654545453929293 -196.577831306966 -117.931512189295 120450354.025878 120450354.025878
"V162" "LFP" 63 0.187714952042456 0.00273722485494188 2.70415807862314e-06 -3.02747480418475e-08 -27.5873463214141 2.03836947321179e-13 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.663636363010101 -196.577831306965 -117.931512189295 135304777.457981 135304777.457981
"V163" "LFP" 64 0.187714952036438 0.00273722485506056 2.70415807862314e-06 -2.69402278263442e-08 -27.5873463214141 3.38573613589688e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.672727272090909 -196.577831306964 -117.931512189295 151991108.295293 151991108.295293
"V164" "LFP" 65 0.18771495203117 0.00273722485516467 2.70415807862314e-06 -2.40332838075119e-08 -27.5873463214141 -2.38609132452439e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.681818181171717 -196.577831306963 -117.931512189295 170735264.747069 170735264.747069
"V165" "LFP" 66 0.187714952026386 0.00273722485525884 2.70415807862314e-06 -2.13649116176384e-08 -27.5873463214141 -1.0556000518136e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.690909090252525 -196.577831306964 -117.931512189295 191791026.167249 191791026.167249
"V166" "LFP" 67 0.187714952022134 0.00273722485534273 2.70415807862314e-06 -1.90137825484271e-08 -27.5873463214141 -1.15152332114121e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.699999999333333 -196.577831306964 -117.931512189295 215443469.003189 215443469.003189
"V167" "LFP" 68 0.18771495201842 0.00273722485541559 2.70415807862314e-06 -1.69302438735031e-08 -27.5873463214141 8.37374614093278e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.709090908414141 -196.577831306966 -117.931512189295 242012826.479438 242012826.479438
"V168" "LFP" 69 0.187714952015049 0.00273722485548215 2.70415807862314e-06 -1.50774042140256e-08 -27.5873463214141 7.63344942811273e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.71818181749495 -196.577831306966 -117.931512189295 271858824.273294 271858824.273294
"V169" "LFP" 70 0.187714952012057 0.00273722485554118 2.70415807862314e-06 -1.34098456783249e-08 -27.5873463214141 3.10018677396329e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.727272726575758 -196.577831306965 -117.931512189295 305385550.883342 305385550.883342
"V170" "LFP" 71 0.187714952009367 0.00273722485559456 2.70415807862314e-06 -1.19381695640186e-08 -27.5873463214141 -3.16546788781125e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.736363635656566 -196.577831306963 -117.931512189295 343046928.631492 343046928.631492
"V171" "LFP" 72 0.187714952007017 0.00273722485564088 2.70415807862314e-06 -1.0631168834152e-08 -27.5873463214141 -1.22568621918617e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.745454544737374 -196.577831306963 -117.931512189295 385352859.371053 385352859.371053
"V172" "LFP" 73 0.187714952004957 0.00273722485568142 2.70415807862314e-06 -9.47500211623264e-09 -27.5873463214141 -1.64268598723538e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.754545453818182 -196.577831306964 -117.931512189295 432876128.108306 432876128.108306
"V173" "LFP" 74 0.187714952003101 0.00273722485571777 2.70415807862314e-06 -8.45059844323259e-09 -27.5873463214141 5.15543163714938e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.76363636289899 -196.577831306965 -117.931512189295 486260158.006536 486260158.006536
"V174" "LFP" 75 0.187714952001401 0.0027372248557513 2.70415807862314e-06 -7.50563344809052e-09 -27.5873463214141 7.55884244085792e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.772727271979798 -196.577831306965 -117.931512189295 546227721.768434 546227721.768434
"V175" "LFP" 76 0.187714951999911 0.00273722485578098 2.70415807862314e-06 -6.6817733568314e-09 -27.5873463214141 -6.27098373229273e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.781818181060606 -196.577831306963 -117.931512189295 613590727.341318 613590727.341318
"V176" "LFP" 77 0.187714951998623 0.00273722485580606 2.70415807862314e-06 -5.9433773458295e-09 -27.5873463214141 4.14956957683899e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.790909090141414 -196.577831306966 -117.931512189295 689261210.43497 689261210.43497
"V177" "LFP" 78 0.187714951997425 0.00273722485582955 2.70415807862314e-06 -5.28729060533806e-09 -27.5873463214141 9.07762753854513e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.799999999222222 -196.577831306966 -117.931512189295 774263682.681127 774263682.681127
"V178" "LFP" 79 0.187714951996339 0.00273722485585116 2.70415807862314e-06 -4.68642724626989e-09 -27.5873463214141 5.74074121573176e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.80909090830303 -196.577831306965 -117.931512189295 869749002.617785 869749002.617785
"V179" "LFP" 80 0.187714951995426 0.00273722485586935 2.70415807862314e-06 -4.18933154833212e-09 -27.5873463214141 -3.65663055390542e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.818181817383838 -196.577831306964 -117.931512189295 977009957.299226 977009957.299226
"V180" "LFP" 81 0.1877149519946 0.00273722485588558 2.70415807862314e-06 -3.73648845197749e-09 -27.5873463214141 1.72573066947734e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.827272726464647 -196.577831306964 -117.931512189295 1097498765.49306 1097498765.49306
"V181" "LFP" 82 0.187714951993845 0.00273722485590016 2.70415807862314e-06 -3.30587113239744e-09 -27.5873463214141 3.27915472553286e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.836363635545455 -196.577831306966 -117.931512189295 1232846739.44207 1232846739.44207
"V182" "LFP" 83 0.187714951993196 0.00273722485591311 2.70415807862314e-06 -2.9521913802455e-09 -27.5873463214141 2.48334686148155e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.845454544626263 -196.577831306965 -117.931512189295 1384886371.39387 1384886371.39387
"V183" "LFP" 84 0.187714951992589 0.002737224855925 2.70415807862314e-06 -2.60737920143583e-09 -27.5873463214141 6.85451695403572e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.854545453707071 -196.577831306966 -117.931512189295 1555676143.93047 1555676143.93047
"V184" "LFP" 85 0.187714951992123 0.00273722485593448 2.70415807862314e-06 -2.37790231949475e-09 -27.5873463214141 -4.95470331429715e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.863636362787879 -196.577831306964 -117.931512189295 1747528400.00769 1747528400.00769
"V185" "LFP" 86 0.187714951991613 0.00273722485594459 2.70415807862314e-06 -2.0844197479164e-09 -27.5873463214141 -7.94342369658807e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.872727271868687 -196.577831306963 -117.931512189295 1963040650.04027 1963040650.04027
"V186" "LFP" 87 0.187714951991194 0.00273722485595251 2.70415807862314e-06 -1.8282833025296e-09 -27.5873463214141 6.53033183084517e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.881818180949495 -196.577831306966 -117.931512189295 2205130739.90305 2205130739.90305
"V187" "LFP" 88 0.187714951990856 0.0027372248559594 2.70415807862314e-06 -1.66375002663699e-09 -27.5873463214141 2.1076473899484e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.890909090030303 -196.577831306964 -117.931512189295 2477076355.99172 2477076355.99172
"V188" "LFP" 89 0.18771495199049 0.00273722485596664 2.70415807862314e-06 -1.44714817906788e-09 -27.5873463214141 1.28652644093563e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.899999999111111 -196.577831306964 -117.931512189295 2782559402.20712 2782559402.20712
